0,2424
"0,109",235
"0,109,1705",15
"0,109,301",152
"0,109,301,1705",7
"0,109,301,492",29
"0,109,301,492,1705",5
"0,109,492",42
"0,109,492,1705",9
"0,1705",99
"0,301",1342
"0,301,1705",55
"0,301,492",218
"0,301,492,1705",24
"0,492",356
"0,492,1705",36
1,1923
"1,1441",49
"1,1704",1
"1,1799",17
"1,229",275
"1,229,1441",11
"1,229,1799",2
"1,229,313",78
"1,229,313,1441",5
"1,229,313,999",21
"1,229,313,999,1441",1
"1,229,999",76
"1,229,999,1441",2
"1,229,999,1799",1
"1,313",184
"1,313,1441",10
"1,313,1799",1
"1,313,999",48
"1,313,999,1441",2
"1,999",293
"1,999,1441",4
"1,999,1799",3
10,5689
"10,1099",494
"10,1099,1164",7
"10,1099,1164,1443",3
"10,1099,1443",144
"10,1099,1443,1783",2
"10,1099,1465",4
"10,1099,1691",1
"10,1099,1783",4
"10,1164",69
"10,1164,1443",12
"10,1164,1465",1
"10,1164,1783",4
"10,1361",11
"10,1361,1443",1
"10,1443",905
"10,1443,1465",1
"10,1443,1783",23
"10,1465",11
"10,1691",3
"10,1691,1783",1
"10,1783",136
"10,203",30
"10,203,1099",4
"10,203,1099,1164",1
"10,203,1164",1
"10,203,1443",4
"10,203,1443,1783",1
"10,203,1783",1
"10,203,458",10
"10,203,458,1443",1
"10,203,458,705",1
"10,203,458,758",1
"10,203,458,758,1443",1
"10,203,705",5
"10,203,705,1099",1
"10,203,705,758",1
"10,203,758",5
"10,203,758,1443",2
"10,203,758,1443,1783",1
"10,203,758,1783",1
"10,363",1
"10,363,705",1
"10,458",812
"10,458,1099",76
"10,458,1099,1443",19
"10,458,1164",12
"10,458,1164,1443",1
"10,458,1164,1783",1
"10,458,1361",1
"10,458,1443",91
"10,458,1443,1783",2
"10,458,1465",1
"10,458,1691",1
"10,458,1783",25
"10,458,486",9
"10,458,486,1099",1
"10,458,705",17
"10,458,705,1099",5
"10,458,705,1099,1443",1
"10,458,705,1443",4
"10,458,705,758",3
"10,458,705,758,1099",1
"10,458,705,758,1443",1
"10,458,705,971",1
"10,458,758",81
"10,458,758,1099",20
"10,458,758,1099,1443",7
"10,458,758,1164",1
"10,458,758,1443",14
"10,458,758,1783",2
"10,458,971",1
"10,476",1
"10,476,1099",1
"10,476,1099,1443",1
"10,476,1443",1
"10,476,758",1
"10,476,758,1099",1
"10,476,758,1099,1443",1
"10,476,758,1443",1
"10,486",32
"10,486,1099",1
"10,486,1361",1
"10,486,1443",8
"10,486,758",1
"10,705",135
"10,705,1099",33
"10,705,1099,1443",11
"10,705,1164",6
"10,705,1164,1443",1
"10,705,1443",39
"10,705,1465",2
"10,705,1783",1
"10,705,758",14
"10,705,758,1099",5
"10,705,758,1099,1443",1
"10,705,758,1443",5
"10,705,971",1
"10,758",499
"10,758,1099",83
"10,758,1099,1164",1
"10,758,1099,1164,1443",1
"10,758,1099,1443",32
"10,758,1099,1465",2
"10,758,1099,1691",1
"10,758,1164",5
"10,758,1164,1443",1
"10,758,1443",113
"10,758,1443,1783",2
"10,758,1465",3
"10,758,1691",1
"10,758,1783",8
"10,956",1
"10,971",3
100,2271
1000,2191
"1000,1001",3
"1000,1001,1163",1
"1000,1163",115
"1000,1163,1427",2
"1000,1163,1799",2
"1000,1427",8
"1000,1704",3
"1000,1799",4
1001,2412
"1001,1038",6
"1001,1038,1427",1
"1001,1111",5
"1001,1111,1971",1
"1001,1117",4
"1001,1117,1268",1
"1001,1124",3
"1001,1150",16
"1001,1150,1163",2
"1001,1150,1163,1427",1
"1001,1150,1427",7
"1001,1150,1427,1824",1
"1001,1150,1824",1
"1001,1153",4
"1001,1163",79
"1001,1163,1427",10
"1001,1163,1799",4
"1001,1268",1
"1001,1282",1
"1001,1310",53
"1001,1310,1427",3
"1001,1310,1799",1
"1001,1314",1
"1001,1322",4
"1001,1322,1642",1
"1001,1362",2
"1001,1362,1783",1
"1001,1375",5
"1001,1375,1541",1
"1001,1375,1642",1
"1001,1383",8
"1001,1398",3
"1001,1398,1553",1
"1001,1398,1783",1
"1001,1398,1783,1920",1
"1001,1398,1920",1
"1001,1399",2
"1001,1400",4
"1001,1400,1427",1
"1001,1427",168
"1001,1427,1518",1
"1001,1427,1751",1
"1001,1427,1783",2
"1001,1427,1799",4
"1001,1427,1799,1887",1
"1001,1427,1824",4
"1001,1427,1853",4
"1001,1427,1887",1
"1001,1443",15
"1001,1443,1641",1
"1001,1446",4
"1001,1456",3
"1001,1456,1518",2
"1001,1518",22
"1001,1541",15
"1001,1541,1623",1
"1001,1541,1944",2
"1001,1553",2
"1001,1555",4
"1001,1610",1
"1001,1623",6
"1001,1623,1944",1
"1001,1641",3
"1001,1642",2
"1001,1647",2
"1001,1672",1
"1001,1676",14
"1001,1679",11
"1001,1704",3
"1001,1704,1799",1
"1001,1750",1
"1001,1751",5
"1001,1783",28
"1001,1783,1799",3
"1001,1783,1853",1
"1001,1783,1920",1
"1001,1799",46
"1001,1799,1853",1
"1001,1799,1887",1
"1001,1824",29
"1001,1834",16
"1001,1853",36
"1001,1853,1920",1
"1001,1861",8
"1001,1875",6
"1001,1887",15
"1001,1895",2
"1001,1912",1
"1001,1920",2
"1001,1929",10
"1001,1944",3
"1001,1953",8
"1001,1971",5
"1001,1977",2
1002,2487
1003,3689
"1003,1706",11
"1003,1706,1752",2
"1003,1706,1752,1783",1
"1003,1706,1783",1
"1003,1752",484
"1003,1752,1783",2
"1003,1752,1911",6
"1003,1783",74
"1003,1783,1911",1
"1003,1911",22
1004,2264
1005,3799
"1005,1282",84
"1005,1282,1783",6
"1005,1314",4
"1005,1314,1783",2
"1005,1362",4
"1005,1783",58
"1005,1799",3
1006,2409
"1006,1024",642
"1006,1024,1446",4
"1006,1024,1446,1874",1
"1006,1024,1518",103
"1006,1024,1518,1874",22
"1006,1024,1518,1953",2
"1006,1024,1874",100
"1006,1024,1953",6
"1006,1446",16
"1006,1446,1518",1
"1006,1446,1874",1
"1006,1518",339
"1006,1518,1874",56
"1006,1518,1953",9
"1006,1766",1
"1006,1874",254
"1006,1953",30
1007,2227
"1007,1314",3
"1007,1314,1783",1
